"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 06 17:33:34 GMT 2024","Sun Oct 06 17:33:34 GMT 2024","425","","","","BookTests","GetBookByNegativeNumberId","GetBookByNegativeNumberId","Can not Get Book with negative number ID
"
"passed","Sun Oct 06 17:33:22 GMT 2024","Sun Oct 06 17:33:23 GMT 2024","474","","","","AuthorTests","CreateNewAuthorWithInvalidBookId","CreateNewAuthorWithInvalidBookId","Can not Create a new Author with invalid BookID
"
"failed","Sun Oct 06 17:33:24 GMT 2024","Sun Oct 06 17:33:24 GMT 2024","420","","","","AuthorTests","DeleteAuthorByNegativeNumberId","DeleteAuthorByNegativeNumberId","Can not Delete an Author with negative ID
"
"broken","Sun Oct 06 17:33:35 GMT 2024","Sun Oct 06 17:33:35 GMT 2024","584","","","","BookTests","UpdateBookWithNonExistingId","UpdateBookWithNonExistingId","Can not Update Book with non-existing ID
"
"passed","Sun Oct 06 17:33:26 GMT 2024","Sun Oct 06 17:33:26 GMT 2024","441","","","","AuthorTests","GetAuthorByAlphabeticalId","GetAuthorByAlphabeticalId","Can not Get Author with alphabetical ID
"
"passed","Sun Oct 06 17:33:27 GMT 2024","Sun Oct 06 17:33:27 GMT 2024","423","","","","AuthorTests","GetAuthorByNegativeNumberId","GetAuthorByNegativeNumberId","Can not Get Author with negative number ID
"
"failed","Sun Oct 06 17:33:29 GMT 2024","Sun Oct 06 17:33:29 GMT 2024","718","","","","AuthorTests","UpdateExistingAuthorById","UpdateExistingAuthorById","Can Update existing Author by ID
"
"failed","Sun Oct 06 17:33:30 GMT 2024","Sun Oct 06 17:33:31 GMT 2024","731","","","","BookTests","DeleteBookById","DeleteBookById","Can Delete a Book by existing ID
"
"passed","Sun Oct 06 17:33:33 GMT 2024","Sun Oct 06 17:33:34 GMT 2024","423","","","","BookTests","GetBookByAlphabeticalId","GetBookByAlphabeticalId","Can not Get Book with alphabetical ID
"
"failed","Sun Oct 06 17:33:23 GMT 2024","Sun Oct 06 17:33:24 GMT 2024","725","","","","AuthorTests","DeleteAuthorById","DeleteAuthorById","Can Delete an Author by exising ID
"
"failed","Sun Oct 06 17:33:26 GMT 2024","Sun Oct 06 17:33:27 GMT 2024","434","","","","AuthorTests","GetAuthorById","GetAuthorById","Can Get Author by existing ID
"
"passed","Sun Oct 06 17:33:24 GMT 2024","Sun Oct 06 17:33:25 GMT 2024","432","","","","AuthorTests","DeleteAuthorWithAlphabeticalId","DeleteAuthorWithAlphabeticalId","Can not Delete an Author with aplhabetical ID
"
"failed","Sun Oct 06 17:33:32 GMT 2024","Sun Oct 06 17:33:32 GMT 2024","635","","","","BookTests","DeleteBookWithNonExistingId","DeleteBookWithNonExistingId","Can not Delete a Book with non-existing ID
"
"passed","Sun Oct 06 17:33:34 GMT 2024","Sun Oct 06 17:33:35 GMT 2024","432","","","","BookTests","GetBookByNonExistingId","GetBookByNonExistingId","Can Get Book with non-existing positive ID
"
"passed","Sun Oct 06 17:33:27 GMT 2024","Sun Oct 06 17:33:28 GMT 2024","435","","","","AuthorTests","GetAuthorByNonExistingId","GetAuthorByNonExistingId","Can Get Author with non-existing positive ID
"
"failed","Sun Oct 06 17:33:22 GMT 2024","Sun Oct 06 17:33:22 GMT 2024","797","","","","AuthorTests","CreateNewAuthor","CreateNewAuthor","Can Create a new Author
"
"passed","Sun Oct 06 17:33:32 GMT 2024","Sun Oct 06 17:33:33 GMT 2024","811","","","","BookTests","GetAllBooks","GetAllBooks","Can Get all Books
"
"broken","Sun Oct 06 17:33:35 GMT 2024","Sun Oct 06 17:33:36 GMT 2024","580","","","","BookTests","UpdateExistingBookById","UpdateExistingBookById","Can Update existing Book by ID
"
"passed","Sun Oct 06 17:33:23 GMT 2024","Sun Oct 06 17:33:23 GMT 2024","447","","","","AuthorTests","CreateNewAuthorWithInvalidId","CreateNewAuthorWithInvalidId","Can not Create a new Author with invalid ID
"
"failed","Sun Oct 06 17:33:31 GMT 2024","Sun Oct 06 17:33:31 GMT 2024","421","","","","BookTests","DeleteBookByNegativeNumberId","DeleteBookByNegativeNumberId","Can not Delete a Book with negative ID
"
"failed","Sun Oct 06 17:33:34 GMT 2024","Sun Oct 06 17:33:34 GMT 2024","426","","","","BookTests","GetBookById","GetBookById","Can Get Book by existing ID
"
"passed","Sun Oct 06 17:33:31 GMT 2024","Sun Oct 06 17:33:32 GMT 2024","435","","","","BookTests","DeleteBookWithAlphabeticalId","DeleteBookWithAlphabeticalId","Can not Delete a Book with alphabetical ID
"
"passed","Sun Oct 06 17:33:30 GMT 2024","Sun Oct 06 17:33:30 GMT 2024","423","","","","BookTests","CreateNewBookWithInvalidId","CreateNewBookWithInvalidId","Can not Create a new Book with invalid ID
"
"failed","Sun Oct 06 17:33:29 GMT 2024","Sun Oct 06 17:33:30 GMT 2024","433","","","","BookTests","CreateNewBook","CreateNewBook","Can Create a new Book
"
